name,price,sales,shop_name,shop_link,product_link,image_link,shipping_insurance,free_shipping,province,city
雪中飞双面穿羽绒服男正反两面穿轻薄保暖白鹅绒短款连帽冬季外套,299,2人付款,雪中飞凯登博专卖店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTDipsnVbFRyHLP94h5DCxH4yrfr38CDKhU1BvRvGxEXC,https://detail.tmall.com/item.htm?id=663114091165&ns=1&abbucket=11,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2209604408330/O1CN01oti2i22BPC7AOpbUL_!!2209604408330.jpg_360x360q90.jpg_.webp,True,True,江苏,苏州
雪中飞羽绒服男短款连帽冬天外套无缝压胶轻便休闲夹克式鸭绒袄子,269,1人付款,雪中飞凯登博专卖店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTDipsnVbFRyHLP94h5DCxH4yrfr38CDKhU1BvRvGxEXC,https://detail.tmall.com/item.htm?id=630952544897&ns=1&abbucket=11,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2209604408330/O1CN01Z8EPBN2BPC7JoNxYp_!!2209604408330.jpg_360x360q90.jpg_.webp,True,True,江苏,苏州
加厚极寒白鹅绒羽绒服男中长款2023冬季新款男女同情侣款保暖外套,786,100+人付款,斯巴奴旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWNMA6tD5Bt7NWwVFvzvVpUEGiHpptt9T5EodJMfaHRFfJ,https://detail.tmall.com/item.htm?id=743226868371&ns=1&abbucket=11,https://gw.alicdn.com/imgextra/O1CN01fZHeAu1VNAVvUig7w_!!1030352640-0-picasso.jpg_360x360q90.jpg_.webp,True,True,江苏,苏州
[经典款]THOM BROWNE 男士秋冬四条纹连帽内置背带外套,21950,,THOMBROWNE官方旗舰店,https://click.simba.taobao.com/cc_im?p=%D3%F0%C8%DE%B7%FE&s=763718774&k=1037&e=JtH5XP%2Frcyle8KKe%2Fofk3kC1s9ii2Zh%2BmN7eFql8dTvv3FD5aBMEsu3lofTBRw8A4aFh%2Fs%2BMWHEJJ7s7JGna7GRLhlyWYAZoKYLA4IEMqafXJgvksC9PJcTuBNe%2BoiXZaDjWB%2BK06bZwxmvOtgoqRQWCowvn76DGgLOHCT8PxrVC1fpVJvjlWgbaluXXIas%2Bxt2rpxgTkdyX0aw203Yevo%2BFZ7BZ1B1akTan4vVLj72QGYAD9V5RCRFbZIVRj86E3Gv5ZAmg9RPMtuyIkbe1zB%2BuLvNAnBAEhqlpsswco5bc7sDFe3gdaEr7Hf9C3LPzjIs3ifnTZR%2BUAnGN1aBLh5%2FivmfkIT8zN4AlfIFHJOCIIPT%2FP6h3i5ymu22M7z1x5By3s%2BEUPJ7yhGyAodZHamGMV6nUd4JwF9rsSbaoezh5mhcfOiE4rV%2BvPsWUXxhBh5Zd6Dk0cKyMnViw0ftJkl8lFEOHFBsp%2BzIpaSEwxquzeZn%2FB72qZpl5vK9VTQUZE%2BJlGtNcqseWYW%2BCjqoB1vaCnEY0b3PUfRe7Xge0cnmBxCXFZkIRrwg7pzMHRfXvpkJ3WHYh7kr2j6AHUWBI55a4twoVdhkzVAXJkot3kZcvEOMTCMsg9qlktawRQHsOacx8FaGuSVqPD9j6spmRQyRgOX5BXcBgb0xRaBWhIO9G8UOJo7WqTUMn8pHuGEbVUCRpXZhkUeLrwUWDV01AK3YvyL86WnKBgMe%2BxWKjNONKDf%2Bgfgkf76jVmkGlHUpuMj7JRcWT95FOgGmk0HROFmNANry41qNOCDzhob5fvWhJv8L87BsEbC0j%2BWEyJFqaRe6oSKXt5q0vlc0XUO1oy00cy1sdsGYFc2lfgsa%2Bx%2F2b5RO7S4WgQUr7Hf9C3LPzbMlrasIVT0S3L%2Fz2c0sJxByI49iMgvbhndWwlM7gqzV1TDBzVDpQAXp796afqo8anNiHyiL2etla1%2B%2BOihV0hEhQorp8JCWLxdnPaHO%2F5NH8WZKEiHs%2BIWeREd8JtsjrGimxBMCFC%2Fw%3D,https://click.simba.taobao.com/cc_im?p=%D3%F0%C8%DE%B7%FE&s=763718774&k=1069&e=NR%2FI0u%2FmlENe8KKe%2Fofk3kC1s9ii2Zh%2BmN7eFql8dTvv3FD5aBMEsu3lofTBRw8A4aFh%2Fs%2BMWHE0bc68ch7Dj2RLhlyWYAZoKYLA4IEMqafXJgvksC9PJcTuBNe%2BoiXZaDjWB%2BK06bZwxmvOtgoqRQWCowvn76DGgLOHCT8PxrVC1fpVJvjlWgbaluXXIas%2Bxt2rpxgTkdyX0aw203Yevo%2BFZ7BZ1B1akTan4vVLj72QGYAD9V5RCRFbZIVRj86E3Gv5ZAmg9RPMtuyIkbe1zB%2BuLvNAnBAEhqlpsswco5bc7sDFe3gdaEr7Hf9C3LPzjIs3ifnTZR%2BUAnGN1aBLh5%2FivmfkIT8zN4AlfIFHJOCIIPT%2FP6h3i9r2eLI7fM5%2B%2BRzcg9QT3WhxfxmmMS69I%2BeK9NIeUmxBkDM%2FVh8ip0yW1SFALQ9jOIBm9eXFyq8pxihDvX9wLhLE3zkx9Y%2FwbzQp9YnMBXXczW3h%2BMAxxZGPffrtZmIAeMpf7xR3bSewgdIk%2FmvZAYjd3bi6okatPRPiZRrTXKrHfR7AiQaLE0CFSt94CpmidH92C3Yyr4VKNEv9qYn%2FUtY1hmcvwpCob39G784Q0MjUtR0ir52%2FSj7gqLzEAs3X7RvBrqYhBUVakgncL9bKBU9mgkk8mh%2FfrIQkbxBGzWEdIXWyuikq18W595Kf%2BUYwGZFxSTX9pL%2FwI2s9%2F%2FEpd2btuDZxLjhzllEZ%2Bz%2Bm6F8Ph6fCPzrto%2BRBxxp1IEvM8C8Ln4IzjBJBvp649OfnXxTZ%2BaKKU6hku9VqOSWrCLp3n9hoiEzwvM9yoIpJEvT4E3QRJbfQw9VceowH1LN1A2NTur5fXrYKy68tBd0R%2BT4LIttBdiKh45CeNq8%2F2zgWLf6B2NeSYwyM0onQRfdX8zauJLmk5gqtNyvY2N%2BnnI0pybqu%2Fhxstvq4o6C0zBnJ8%2BzAwX5IbFmQh5Zd6Dk0cKzVR%2BqyOOiU5h7f8k6y%2FwiLPPSF78eEcUIwSxdreYXILZa8gBInOs8dnh8jEMfyaiv6MlGO4AisU%2B5vr8CTVWES2LkpeE0agzA%3D,https://img.alicdn.com/imgextra/i4/2056790019/O1CN01KVtdU21C0kQ3qUuXC_!!0-saturn_solar.jpg_360x360q90.jpg_.webp,False,True,浙江,嘉兴
R13 秋冬新品经典美式飞行夹克后背拉链多变造型宽松落肩,12700,1人付款,R13旗舰店,https://click.simba.taobao.com/cc_im?p=%D3%F0%C8%DE%B7%FE&s=763718774&k=1005&e=IRPBBg7TyVZe8KKe%2Fofk3kC1s9ii2Zh%2BmN7eFql8dTvv3FD5aBMEsu3lofTBRw8A4aFh%2Fs%2BMWHG7ZoY5%2BSu7lNOdtYWS82dIjo9vx2KVfTzXJgvksC9PJcTuBNe%2BoiXZaDjWB%2BK06bZwxmvOtgoqRQWCowvn76DGgLOHCT8PxrVC1fpVJvjlWgbaluXXIas%2Bxt2rpxgTkdyX0aw203Yevo%2BFZ7BZ1B1aXZDabw10NkJCL6usOjEQ1ozCZ%2BrBmzT68rfa%2FBa2tVbThDrSlUWgheKe1cvFcxggEktDi51Y1il8b4k3030Z6Z75WJ797gPIbOVcslMtftzLAS27jOyKFDYVuAr46qPBox95caKiG%2BKIEi3dc5A2q2GMV6nUd4JwF9rsSbaoeziwVS5V%2B4ihXxpNLRNZl7S0B3RmTpKnVrPnhXntJm58Q6r%2BJZ%2B2VkPOtbrR66yPro2zmIvUt8pAUhTPLzo5wB6dxk0%2F0v74xY3MsmNefmLnkwhDQtXcUga3q7GJ1Vm3LnFf%2BOGGNSAhjQiP6up7z2U57nZMD%2F6NxFXD1GUIiDOhVSauUttxhKUcJhFYNuB8wNeKtV7p6Of24fnSgj3V3IfeIN3BcvGQPJ3YTY4jxaNz%2F%2FfshYZqz%2BSi3KrUoLGivcs765tKH5%2B1oc9pFTAGoK23gI6hgyBTQU93vUDBoxH3glKjV4ajrOwexX0OHTjllIlYZl5jjlSOqWGBA7xTSz6ISIzKmgKsQQQgTpE5JJSvQo8A3hAQOMK2CKQDfwak8bBL4VW%2FI2P2WYpLH5WdShH5856S%2BFkQvrjxfKzx4N8bgpf9web6g2x7l0nnqZaIzMRajwf2j7EO4pmYzwzJGkV6dPxGdXaLAtfLAS27jOyKFFe1NBQoGItyM%2FlbgtvlsIXd3bsE7vpO5GV1i0ikivj79eM2rmM9Oea9ut2IYVHJ6YdsasfWADvUxu8%2BrpCRK5DqSqYzXynlolLrTtwezdwlE8ZaCM1ErSQ%3D,https://click.simba.taobao.com/cc_im?p=%D3%F0%C8%DE%B7%FE&s=763718774&k=1049&e=D7mPys7W4mle8KKe%2Fofk3kC1s9ii2Zh%2BmN7eFql8dTvv3FD5aBMEsu3lofTBRw8A4aFh%2Fs%2BMWHGo3cxYebGzg9OdtYWS82dIjo9vx2KVfTzXJgvksC9PJcTuBNe%2BoiXZaDjWB%2BK06bZwxmvOtgoqRQWCowvn76DGgLOHCT8PxrVC1fpVJvjlWgbaluXXIas%2Bxt2rpxgTkdyX0aw203Yevo%2BFZ7BZ1B1aXZDabw10NkJCL6usOjEQ1ozCZ%2BrBmzT68rfa%2FBa2tVbThDrSlUWgheKe1cvFcxggEktDi51Y1il8b4k3030Z6Z75WJ797gPIbOVcslMtftzLAS27jOyKFGujoir5EVXOkovwmmMMqNbnj8kymPDwEGGMV6nUd4JwydARVJENBxzm1uRLRAe9F2pjPhP31CvV24cY4Am6g%2FwVWY4YQpyzrw%2Bw0Y72z7o92UmFsAJY8uqPpMUMPRSYXCU6X8Zz3lJj4EFRIbobe9d%2BI%2BjYqZJFC2ouEHj7p3BCmXm8r1VNBRmKiyiuSu8HqpiKHhj7583pLHmxs7Q8CJ4No0TZ7tHnDsbUoumys2XFCC5p2LxeikL03sMd6W86qnEfK9Az7272hxAuy8tHS3PaSUfyqpxDrVN68esMlkYSNeMznW9Cg6wWMLB7Ial6MyQNffC5e0G9BDCUpX7SxCp2FzV52yjus0wZBdoDu1x5%2F9b4qRrCfxYDh8h0IsgZFZlgqvdaAoUHuxEhCKbKcPXntBGfWRv%2BJhQRYI2GcnlVmBhMEOAnhOSj2yUXmr03s6lUXwZpWZyrogDF2etDZUkqOt%2FMCXkSD0FG9tZ%2BvYhONMwiFN5cVzLG2%2Brmey2QFSJ%2B0v%2BGZD9U1k4%2B3Pt1Rq4xLCFviiMC%2FnxviTfTfRnpNaXjGy3QRmArao0XRA4OlgNfb%2BiYZYwWrfycHkoKvhMHdGZOkqdWs8BiX6o2PR0nb4SwCXnXVaYTq0%2BGqgrLH%2Bmw4iRjQAIILBps9%2BWTsHMDI%2Fr5hZjo36P8mVJkcBKg9yYIHFUuToGGuoGDsHZCpw%3D%3D,https://img.alicdn.com/imgextra/i4/3732375330/O1CN01QX0XUq1pFBvbkOu5c_!!0-saturn_solar.jpg_360x360q90.jpg_.webp,False,True,浙江,嘉兴
现货 nanamica GORE-TEX男士连帽羽绒服 防风保暖光电子 FW23新色,4818,0人付款,NAMESAKE,https://click.simba.taobao.com/cc_im?p=%D3%F0%C8%DE%B7%FE&s=763718774&k=921&e=eCHsRTcRkPle8KKe%2Fofk3kC1s9ii2Zh%2BmN7eFql8dTvv3FD5aBMEsu3lofTBRw8ApOrRnSTzJ61yoUTfGzc%2F1MhbxDm%2Bdp2rKYLA4IEMqafXJgvksC9PJcTuBNe%2BoiXZaDjWB%2BK06bZwxmvOtgoqRQWCowvn76DGgLOHCT8PxrVC1fpVJvjlWgbaluXXIas%2Bxt2rpxgTkdyX0aw203Yevo%2BFZ7BZ1B1aF8I8oJ3TJctE9C9wUdmJixFbZIVRj86EzcrB8OzBd2ihIatV2WsXiadNag9wrNiovMRA7%2Bfd%2FuNIKrm4h5RFKXOOrpc24ZUR4yGnYM8SqJKbZhORIXw%2FFo6phTsi7Xttgo6jy3FBL5jvJ97YvXczKABG3hu6bk2%2BLNVkf3JhFonF5jnPQCZXS5AAVK6tYjQ986ibTrsmVSeIzy5uxc%2FHxhcR7sdO%2B%2FOzCFXJSavUo1P1jSTA4tYvvtdQZkUbkDF94Ki8xALN1%2B1yiItL3nR9%2BJLr%2FwNG0P7kk2RxWB6DP2jDwFuSEfAeMenihWm5GvkXFIwM1Lf1Ede4lMwgXWZDWsycFSgKK0yHMQ3JOJYkQc9lM%2BcPMcvRxKTKSPP4ld46ZePBn0onLyf2HbbRkfohpcd7pMjC9yls4cKeyPHPVqobBoxxqBv0sci6oTY%2BGgr1LKzqzOKkJ%2BLrqBf8P0T9Vd%2B%2BybNzawXkXeMeGUI8oWHIxno8rjQWBsor90kqwx4dgsxGuDfftcESdA8CnpskpJn9c04dS1FXN064QZmpRLheJwrk4lgOTrGi8%2BAGJgwaldZNUBG%2Bem9tirzpUKlKeFPml%2BDRZLq4lxDvoFzV1Ch%2FO4%2F%2FuJVlYNljKAFx3Nk8AwT6R7dvf4Xd64y3vqd93%2FKswfZkMoGdIA4YV4VUsTbEgWB5h5zYzw%3D%3D,https://click.simba.taobao.com/cc_im?p=%D3%F0%C8%DE%B7%FE&s=763718774&k=941&e=yTvlkDr6GQ9e8KKe%2Fofk3kC1s9ii2Zh%2BmN7eFql8dTvv3FD5aBMEsu3lofTBRw8ApOrRnSTzJ63l87GRM3GpgMhbxDm%2Bdp2rKYLA4IEMqafXJgvksC9PJcTuBNe%2BoiXZaDjWB%2BK06bZwxmvOtgoqRQWCowvn76DGgLOHCT8PxrVC1fpVJvjlWgbaluXXIas%2Bxt2rpxgTkdyX0aw203Yevo%2BFZ7BZ1B1aF8I8oJ3TJctE9C9wUdmJixFbZIVRj86EzcrB8OzBd2ihIatV2WsXiadNag9wrNiovMRA7%2Bfd%2FuNIKrm4h5RFKXOOrpc24ZUR4yGnYM8SqJKbZhORIXw%2FFo6phTsi7Xttgo6jy3FBL5jLLRMpUJ0DfE7RHbekOQuOf5ZzFztZH81AQqAySjHnm9%2BrAkX1vwPh9Cc2OUheAFPoM6s%2B6kDpb0BPQ1fZODLH4ViccbrThJx90cVctCLOOAr1MkepBwoH3lxXhQDtTaoWLrA9z84aCy3Cng6iwX%2B5SipuyUDqSAsdqSRPuo58nXirw5wQqJ%2FyLxDjEwjLIPapZLWsEUB7DmnMfBWhrklajw%2FY%2BrKZkUMkYDl%2BQV3AYG9MUWgVoSDvRvFDiaO1qk1DJ%2FKR7hhG1VAkaV2YZFHi68FFg1dNQCtszWJqypZsuS1i5x0xpBAOSg3%2FoH4JH%2B%2Bo1ZpBpR1KbjI%2ByUXFk%2FeRy%2F9RJW1hHr5jQDa8uNajTqbJc6u7meBFfQdvmnroZURjrBwL3y%2Bjr8%2B8M74R2gDV5c8JTn7cuSTwpz0KUgMwJBFL9Kyr3uGN5sf4%2FVy0ss0Hu%2B4ZSf7UpXIxtuCchxXH8KWposlbUFRh46D8HPNt1mV1i0ikivj79eM2rmM9Oea9ut2IYVHJ6YdsasfWADvUxu8%2BrpCRK5DqSqYzXynlolLrTtwezdwlab769CQlkGs%3D#detail,https://img.alicdn.com/imgextra/i2/1172500025/O1CN01MdhELG1C3UnmxChNd_!!0-saturn_solar.jpg_360x360q90.jpg_.webp,False,True,浙江,杭州
雪中飞2023年冬季新款羽绒服男女同款情侣款短款连帽星空冬装外套,480,7人付款,雪中飞怀缘专卖店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWKGR91gUpaH2ssbXuvpFuxKfCWy34Fi44aWkY2R4kZz7a,https://detail.tmall.com/item.htm?id=689160042071&ns=1&abbucket=11,https://picasso.alicdn.com/imgextra/O1CNA1xxXfOO2EYlFD7JL6t_!!2209648678757-0-psf.jpg_360x360q90.jpg_.webp,True,True,江苏,苏州
鸭鸭羽绒服男冬季短款连帽户外极寒加厚面包保暖休闲外套男潮,359,98人付款,鸭鸭羽绒服旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWZQnn2Wyz1JBbGnZQzBEJqnwiyTtTgdUzAjdXmJYjHeta,https://detail.tmall.com/item.htm?id=746052973911&ns=1&abbucket=11,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2216012981447/O1CN014bMdai1MYm0V9ZfDr_!!0-item_pic.jpg_360x360q90.jpg_.webp,True,True,江苏,苏州
鸭鸭男士羽绒服2023年冬季中长款连帽时尚休闲简约百搭保暖外套Y,399,26人付款,鸭鸭官方旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWKPMpGHHXwsoKaNSiF6sLCTkYbQmeqWFPvvfNMDsSczJu,https://detail.tmall.com/item.htm?id=744680788637&ns=1&abbucket=11,https://gw.alicdn.com/imgextra/O1CN017TsHcl1lJXDxbvIG2_!!925814798-0-picasso.jpg_360x360q90.jpg_.webp,True,True,浙江,嘉兴
高端羽绒服男短款加厚2023新款冬季男士中老年装嘉兴基地反季外套,298,19人付款,皇致旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWK4gt5ymyWSoCt66PGdMQjY3byeJ7HVXPjxoefibuXVsC,https://detail.tmall.com/item.htm?id=632943385877&ns=1&abbucket=11,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2935913738/O1CN011kqozM1dU3OMsAiVf_!!0-item_pic.jpg_360x360q90.jpg_.webp,True,True,浙江,嘉兴
